Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-02-23 00:00:00-05:00,3.7052730437247985,3.7631679350329983,3.5460620926272486,3.5894832611083984,40594800,0.0,0.0
1993-02-24 00:00:00-05:00,3.647378068811753,3.7342204037834614,3.603956901325899,3.6907992362976074,9426400,0.0,0.0
1993-02-25 00:00:00-05:00,3.7052733907297655,3.777642011642456,3.6907996665472274,3.777642011642456,5229200,0.0,0.0
1993-02-26 00:00:00-05:00,3.7776437030648284,3.835538625717163,3.719748780412494,3.835538625717163,2761200,0.0,0.0
1993-03-01 00:00:00-05:00,3.792116954922676,3.806590683758259,3.7052745819091797,3.7052745819091797,3014400,0.0,0.0
1993-03-02 00:00:00-05:00,3.7342226169861767,3.821065003427716,3.719748885912587,3.806591272354126,3022800,0.0,0.0
1993-03-03 00:00:00-05:00,3.792116403579712,3.850011310504593,3.7631689501172714,3.792116403579712,2808800,0.0,0.0
1993-03-04 00:00:00-05:00,3.777642011642456,3.821063184190071,3.777642011642456,3.777642011642456,1783600,0.0,0.0
1993-03-05 00:00:00-05:00,3.7631689874749434,3.864485075599269,3.7052740799753288,3.8500113487243652,3868800,0.0,0.0
1993-03-08 00:00:00-05:00,3.8210648950540795,3.8500123563802466,3.792117433727912,3.835538625717163,2516000,0.0,0.0
1993-03-09 00:00:00-05:00,3.8210626329694475,3.9947472981044223,3.8210626329694475,3.9513261318206787,2449200,0.0,0.0
1993-03-10 00:00:00-05:00,3.922379575984579,4.125011731201495,3.907905850611942,4.110538005828857,3192800,0.0,0.0
1993-03-11 00:00:00-05:00,4.153959181946768,4.153959181946768,4.0671168297109475,4.110538005828857,1276400,0.0,0.0
1993-03-12 00:00:00-05:00,4.081591015456045,4.197380831497351,3.9368537454044117,4.1829071044921875,2958800,0.0,0.0
1993-03-15 00:00:00-05:00,4.168432907319405,4.168432907319405,4.081590555083584,4.110538005828857,1858400,0.0,0.0
1993-03-16 00:00:00-05:00,4.081590367735719,4.125011541860567,4.009221744194305,4.023695468902588,2182000,0.0,0.0
1993-03-17 00:00:00-05:00,4.023696033980074,4.067117214202881,3.9802748537572676,4.067117214202881,2413600,0.0,0.0
1993-03-18 00:00:00-05:00,4.052644769350687,4.1829083512226735,4.052644769350687,4.1684346199035645,1765200,0.0,0.0
1993-03-19 00:00:00-05:00,4.1973829771343025,4.1973829771343025,4.125014305114746,4.125014305114746,2397600,0.0,0.0
1993-03-22 00:00:00-05:00,4.139485456574131,4.139485456574131,4.0671168297109475,4.110538005828857,729200,0.0,0.0
1993-03-23 00:00:00-05:00,4.1105378171522835,4.1105378171522835,4.023695468902588,4.023695468902588,924000,0.0,0.0
1993-03-24 00:00:00-05:00,4.023697301691229,4.023697301691229,3.864486257379705,3.980276107788086,1787600,0.0,0.0
1993-03-25 00:00:00-05:00,3.9513286451859906,3.980276107788086,3.8934337199818003,3.980276107788086,1080400,0.0,0.0
1993-03-26 00:00:00-05:00,4.110540123116034,4.2408037185668945,4.09606639028816,4.2408037185668945,2376800,0.0,0.0
1993-03-29 00:00:00-05:00,4.211855852926099,4.284224510192871,4.139487195659328,4.284224510192871,1273600,0.0,0.0
1993-03-30 00:00:00-05:00,4.342118614271332,4.443434715270996,4.2986974281286185,4.443434715270996,1463600,0.0,0.0
1993-03-31 00:00:00-05:00,4.457908443985234,4.5447508162706605,4.428960986556759,4.443434715270996,1856000,0.0,0.0
1993-04-01 00:00:00-05:00,4.385540630366351,4.400014361819705,4.255277047286162,4.284224510192871,1410000,0.0,0.0
1993-04-02 00:00:00-05:00,4.226330445942126,4.298699117961682,4.125014305114746,4.125014305114746,1338800,0.0,0.0
1993-04-05 00:00:00-04:00,4.1105386536696855,4.2118547472460515,4.1105386536696855,4.197381019592285,873200,0.0,0.0
1993-04-06 00:00:00-04:00,4.211854954699536,4.2263286830662015,4.139486312866211,4.139486312866211,763200,0.0,0.0
1993-04-07 00:00:00-04:00,4.125012381323453,4.2118547472460515,4.125012381323453,4.197381019592285,240400,0.0,0.0
1993-04-08 00:00:00-04:00,4.197380831497351,4.197380831497351,4.168433377487024,4.1829071044921875,304000,0.0,0.0
1993-04-12 00:00:00-04:00,4.18290839001939,4.284224510192871,4.18290839001939,4.284224510192871,217600,0.0,0.0
1993-04-13 00:00:00-04:00,4.3421173095703125,4.443433380126953,4.3421173095703125,4.414485931396484,937600,0.0,0.0
1993-04-14 00:00:00-04:00,4.414487882924918,4.544751459798112,4.414487882924918,4.530277729034424,689600,0.0,0.0
1993-04-15 00:00:00-04:00,4.472380828857422,4.472380828857422,4.284222412109375,4.3421173095703125,1319600,0.0,0.0
1993-04-16 00:00:00-04:00,4.371062157544803,4.400009589051722,4.313167294530964,4.327641010284424,1452400,0.0,0.0
1993-04-19 00:00:00-04:00,4.298697979482886,4.327645440624185,4.211855596058989,4.226329326629639,861600,0.0,0.0
1993-04-20 00:00:00-04:00,4.269749284211823,4.29869673698614,4.0092222092429655,4.096064567565918,2764000,0.0,0.0
1993-04-21 00:00:00-04:00,4.096063801891915,4.153958696618302,4.038168907165527,4.038168907165527,1372800,0.0,0.0
1993-04-22 00:00:00-04:00,4.038168907165527,4.110537525573512,4.02369518348393,4.038168907165527,1387600,0.0,0.0
1993-04-23 00:00:00-04:00,4.023697301691229,4.038171032992276,3.936854913884943,3.980276107788086,660400,0.0,0.0
1993-04-26 00:00:00-04:00,3.9947477291064635,4.023695176418829,3.850010492544635,3.8934316635131836,1847200,0.0,0.0
1993-04-27 00:00:00-04:00,3.850012686322717,3.9368550777435303,3.7776440268053726,3.9368550777435303,1674000,0.0,0.0
1993-04-28 00:00:00-04:00,3.965802740103932,4.023697670616398,3.9223815422195822,4.009223937988281,726800,0.0,0.0
1993-04-29 00:00:00-04:00,4.009224233419999,4.038171700809313,3.994750499725342,3.994750499725342,228800,0.0,0.0
1993-04-30 00:00:00-04:00,4.009222927401143,4.515803441693706,4.009222927401143,4.486855983734131,3105600,0.0,0.0
1993-05-03 00:00:00-04:00,4.400014475089352,4.400014475089352,4.22632969317793,4.255277156829834,2001200,0.0,0.0
1993-05-04 00:00:00-04:00,4.284224510192871,4.313171973099579,4.240803315832808,4.284224510192871,826000,0.0,0.0
1993-05-05 00:00:00-04:00,4.269751184222641,4.269751184222641,4.226329985739021,4.2408037185668945,512000,0.0,0.0
1993-05-06 00:00:00-04:00,4.240802391288207,4.240802391288207,4.168433749798647,4.211854934692383,183200,0.0,0.0
1993-05-07 00:00:00-04:00,4.226329326629639,4.255276787770938,4.211855596058989,4.226329326629639,245200,0.0,0.0
1993-05-10 00:00:00-04:00,4.240803315832808,4.313171973099579,4.240803315832808,4.284224510192871,708800,0.0,0.0
1993-05-11 00:00:00-04:00,4.28422193365582,4.28422193365582,4.22632704266047,4.269748210906982,568800,0.0,0.0
1993-05-12 00:00:00-04:00,4.269748210906982,4.298695656404656,4.240800765409308,4.269748210906982,258000,0.0,0.0
1993-05-13 00:00:00-04:00,4.240803276499112,4.240803276499112,4.1684346199035645,4.1684346199035645,163200,0.0,0.0
